date	close
1-Jan-10	210.73
4-Jan-10	214.01
5-Jan-10	214.38
6-Jan-10	210.97
7-Jan-10	210.58
8-Jan-10	211.98
11-Jan-10	210.11
12-Jan-10	207.72
13-Jan-10	210.65
14-Jan-10	209.43
15-Jan-10	205.93
18-Jan-10	205.93
19-Jan-10	215.04
20-Jan-10	211.72
21-Jan-10	208.07
22-Jan-10	197.75
25-Jan-10	203.08
26-Jan-10	205.94
27-Jan-10	207.88
28-Jan-10	199.29
29-Jan-10	192.06
1-Feb-10	194.73
2-Feb-10	195.86
3-Feb-10	199.23
4-Feb-10	192.05
5-Feb-10	195.46
8-Feb-10	194.12
9-Feb-10	196.19
10-Feb-10	195.12
11-Feb-10	198.67
12-Feb-10	200.38
15-Feb-10	200.38
16-Feb-10	203.40
17-Feb-10	202.55
18-Feb-10	202.93
19-Feb-10	201.67
22-Feb-10	200.42
23-Feb-10	197.06
24-Feb-10	200.66
25-Feb-10	202.00
26-Feb-10	204.62
1-Mar-10	208.99
2-Mar-10	208.85
3-Mar-10	209.33
4-Mar-10	210.71
5-Mar-10	218.95
8-Mar-10	219.08
9-Mar-10	223.02
10-Mar-10	224.84
11-Mar-10	225.50
12-Mar-10	226.60
15-Mar-10	223.84
16-Mar-10	224.45
17-Mar-10	224.12
18-Mar-10	224.65
19-Mar-10	222.25
22-Mar-10	224.75
23-Mar-10	228.36
24-Mar-10	229.37
25-Mar-10	226.65
26-Mar-10	230.90
29-Mar-10	232.39
30-Mar-10	235.84
31-Mar-10	235.00
1-Apr-10	235.97
2-Apr-10	235.97
5-Apr-10	238.49
6-Apr-10	239.54
7-Apr-10	240.60
8-Apr-10	239.95
9-Apr-10	241.79
12-Apr-10	242.29
13-Apr-10	242.43
14-Apr-10	245.69
15-Apr-10	248.92
16-Apr-10	247.40
19-Apr-10	247.07
20-Apr-10	244.59
21-Apr-10	259.22
22-Apr-10	266.47
23-Apr-10	270.83
26-Apr-10	269.50
27-Apr-10	262.04
28-Apr-10	261.60
29-Apr-10	268.64
30-Apr-10	261.09
3-May-10	266.35
4-May-10	258.68
5-May-10	255.98
6-May-10	246.25
7-May-10	235.86
10-May-10	253.99
11-May-10	256.52
12-May-10	262.09
13-May-10	258.36
14-May-10	253.82
17-May-10	254.22
18-May-10	252.36
19-May-10	248.34
20-May-10	237.76
21-May-10	242.32
24-May-10	246.76
25-May-10	245.22
26-May-10	244.11
27-May-10	253.35
28-May-10	256.88
31-May-10	256.88
1-Jun-10	260.83
2-Jun-10	263.95
3-Jun-10	263.12
4-Jun-10	255.96
7-Jun-10	250.94
8-Jun-10	249.33
9-Jun-10	243.20
10-Jun-10	250.51
11-Jun-10	253.51
14-Jun-10	254.28
15-Jun-10	259.69
16-Jun-10	267.25
17-Jun-10	271.87
18-Jun-10	274.07
21-Jun-10	270.17
22-Jun-10	273.85
23-Jun-10	270.97
24-Jun-10	269.00
25-Jun-10	266.70
28-Jun-10	268.30
29-Jun-10	256.17
30-Jun-10	251.53
1-Jul-10	248.48
2-Jul-10	246.94
5-Jul-10	246.94
6-Jul-10	248.63
7-Jul-10	258.66
8-Jul-10	258.09
9-Jul-10	259.62
12-Jul-10	257.28
13-Jul-10	251.80
14-Jul-10	252.73
15-Jul-10	251.45
16-Jul-10	249.90
19-Jul-10	245.58
20-Jul-10	251.89
21-Jul-10	254.24
22-Jul-10	259.02
23-Jul-10	259.94
26-Jul-10	259.28
27-Jul-10	264.08
28-Jul-10	260.96
29-Jul-10	258.11
30-Jul-10	257.25
2-Aug-10	261.85
3-Aug-10	261.93
4-Aug-10	262.98
5-Aug-10	261.70
6-Aug-10	260.09
9-Aug-10	261.75
10-Aug-10	259.41
11-Aug-10	250.19
12-Aug-10	251.79
13-Aug-10	249.10
16-Aug-10	247.64
17-Aug-10	251.97
18-Aug-10	253.07
19-Aug-10	249.88
20-Aug-10	249.64
23-Aug-10	245.80
24-Aug-10	239.93
25-Aug-10	242.89
26-Aug-10	240.28
27-Aug-10	241.62
30-Aug-10	242.50
31-Aug-10	243.10
1-Sep-10	250.33
2-Sep-10	252.17
3-Sep-10	258.77
6-Sep-10	258.77
7-Sep-10	257.81
8-Sep-10	262.92
9-Sep-10	263.07
10-Sep-10	263.41
13-Sep-10	267.04
14-Sep-10	268.06
15-Sep-10	270.22
16-Sep-10	276.57
17-Sep-10	275.37
20-Sep-10	283.23
21-Sep-10	283.77
22-Sep-10	287.75
23-Sep-10	288.92
24-Sep-10	292.32
27-Sep-10	291.16
28-Sep-10	286.86
29-Sep-10	287.37
30-Sep-10	283.75
1-Oct-10	282.52
4-Oct-10	278.64
5-Oct-10	288.94
6-Oct-10	289.19
7-Oct-10	289.22
8-Oct-10	294.07
11-Oct-10	295.36
12-Oct-10	298.54
13-Oct-10	300.14
14-Oct-10	302.31
15-Oct-10	314.74
18-Oct-10	318.00
19-Oct-10	309.49
20-Oct-10	310.53
21-Oct-10	309.52
22-Oct-10	307.47
25-Oct-10	308.84
26-Oct-10	308.05
27-Oct-10	307.83
28-Oct-10	305.24
29-Oct-10	300.98
1-Nov-10	304.18
2-Nov-10	309.36
3-Nov-10	312.80
4-Nov-10	318.27
5-Nov-10	317.13
8-Nov-10	318.62
9-Nov-10	316.08
10-Nov-10	318.03
11-Nov-10	316.66
12-Nov-10	308.03
15-Nov-10	307.04
16-Nov-10	301.59
17-Nov-10	300.50
18-Nov-10	308.43
19-Nov-10	306.73
22-Nov-10	313.36
23-Nov-10	308.73
24-Nov-10	314.80
26-Nov-10	315.00
29-Nov-10	316.87
30-Nov-10	311.15
1-Dec-10	316.40
2-Dec-10	318.15
3-Dec-10	317.44
6-Dec-10	320.15
7-Dec-10	318.21
8-Dec-10	321.01
9-Dec-10	319.76
10-Dec-10	320.56
13-Dec-10	321.67
14-Dec-10	320.29
15-Dec-10	320.36
16-Dec-10	321.25
17-Dec-10	320.61
20-Dec-10	322.21
21-Dec-10	324.20
22-Dec-10	325.16
23-Dec-10	323.60
27-Dec-10	324.68
28-Dec-10	325.47
29-Dec-10	325.29
30-Dec-10	323.66
31-Dec-10	322.56
